+------+-------------------------------+---------+--------+-------+
| Rank | Batsman                       | Average | Others | Ratio |
| 298  | Jack Cheetham                 | 42.20   | 26.00  | 1.622 |
| 299  | Mohammad Ayub                 | 41.13   | 25.35  | 1.622 |
| 300  | Rizwan-uz-Zaman               | 43.53   | 26.83  | 1.621 |
| 301  | Jagadeesh Arunkumar           | 42.90   | 26.45  | 1.621 |
| 302  | Yere Goud                     | 45.53   | 28.07  | 1.621 |
| 303  | Sanjay Manjrekar              | 55.11   | 33.99  | 1.621 |
| 304  | Zakir Butt                    | 36.15   | 22.30  | 1.620 |
| 305  | Maruti Sridhar                | 48.90   | 30.17  | 1.620 |
| 306  | Mohammad Azharuddin           | 51.98   | 32.09  | 1.619 |
| 307  | Patrick Botha                 | 43.66   | 26.95  | 1.619 |
| 308  | Kyle Verreynne                | 50.92   | 31.45  | 1.618 |
| 309  | Kripal Singh                  | 40.81   | 25.22  | 1.618 |
| 310  | Ambati Rayudu                 | 45.56   | 28.16  | 1.617 |
| 311  | James Aylward                 | 19.24   | 11.90  | 1.616 |
| 312  | Shehan Jayasuriya             | 42.10   | 26.05  | 1.615 |
| 313  | John Dewes                    | 41.77   | 25.85  | 1.615 |
| 314  | Justin Langer                 | 50.23   | 31.09  | 1.615 |
| 315  | Lala Amarnath                 | 41.37   | 25.63  | 1.614 |
| 316  | Len Baichan                   | 51.77   | 32.07  | 1.613 |
| 317  | Lionel Palairet               | 33.63   | 20.84  | 1.613 |
| 318  | Uday Kaul                     | 49.87   | 30.94  | 1.611 |
| 319  | Brad Hodge                    | 48.81   | 30.30  | 1.610 |
| 320  | Waheed Yar Khan               | 38.93   | 24.17  | 1.610 |
| 321  | Jack Ryder                    | 44.30   | 27.53  | 1.609 |
| 322  | Trevor Goddard                | 40.60   | 25.26  | 1.607 |
| 323  | Akhtar Sarfraz                | 36.43   | 22.66  | 1.607 |
| 324  | Albert Hornby                 | 24.07   | 14.98  | 1.607 |
| 325  | Hubert Ashton                 | 38.70   | 24.08  | 1.606 |
| 326  | Mike Smith                    | 41.84   | 26.05  | 1.605 |
| 327  | Aamer Sajjad                  | 38.68   | 24.09  | 1.605 |
| 328  | Chris Rogers                  | 49.55   | 30.89  | 1.604 |
| 329  | Francis Lacey                 | 32.77   | 20.43  | 1.603 |
| 330  | Faiz Fazal                    | 42.20   | 26.32  | 1.603 |
| 331  | Chamara Silva                 | 41.33   | 25.77  | 1.603 |
| 332  | Mohammad Rizwan               | 42.96   | 26.79  | 1.603 |
| 333  | Gautam Gambhir                | 49.35   | 30.78  | 1.603 |
| 334  | Shakoor Ahmed                 | 37.26   | 23.25  | 1.602 |
| 335  | Mukund Parmar                 | 49.63   | 30.97  | 1.602 |
| 336  | Frank Lowson                  | 37.18   | 23.21  | 1.601 |
| 337  | Rudi Second                   | 44.73   | 27.94  | 1.600 |
| 338  | Hashim Amla                   | 48.45   | 30.27  | 1.600 |
| 339  | Graham Yallop                 | 45.90   | 28.68  | 1.600 |
| 340  | Lord Harris                   | 26.85   | 16.77  | 1.600 |
| 341  | Kane Williamson               | 49.92   | 31.20  | 1.599 |
| 342  | Coimbatarao Gopinath          | 42.16   | 26.36  | 1.599 |
| 343  | Dulip Samaraweera             | 39.18   | 24.50  | 1.599 |
| 344  | Teddy Wynyard                 | 33.00   | 20.64  | 1.598 |
