+-----------------------------+-----------------------------+-------+
| Batter                      | Fielder                     | Count |
| Ryan Watson                 | Mohammad Hafeez             | 1     |
| Gavin Hamilton              | Umar Gul                    | 1     |
| Neil McCallum               | Mohammad Asif               | 1     |
| Dougie Brown                | Imran Nazir                 | 1     |
| Colin Smith                 | Yasir Arafat                | 1     |
| Chris Gayle                 | Alok Kapali                 | 1     |
| Shiv Chanderpaul            | Mashrafe Mortaza            | 1     |
| Marlon Samuels              | Shakib Al Hasan             | 1     |
| Tamim Iqbal                 | Shiv Chanderpaul            | 1     |
| Nazimuddin                  | Ramnaresh Sarwan            | 1     |
| Mohammad Ashraful           | Chris Gayle                 | 1     |
| Shakib Al Hasan             | Daren Powell                | 1     |
| Darren Maddy                | Stuart Matsikenyeri         | 1     |
| Matt Prior                  | Chamunorwa Chibhabha        | 1     |
| Kevin Pietersen             | Hamilton Masakadza          | 1     |
| Owais Shah                  | Chamunorwa Chibhabha        | 1     |
| Dimitri Mascarenhas         | Hamilton Masakadza          | 1     |
| Vusimuzi Sibanda            | Darren Maddy                | 1     |
| Stuart Matsikenyeri         | Andrew Flintoff             | 1     |
| Elton Chigumbura            | Luke Wright                 | 1     |
| Hamilton Masakadza          | Luke Wright                 | 1     |
| Darren Maddy                | Mike Hussey                 | 1     |
| Matt Prior                  | Nathan Bracken              | 1     |
| Andrew Flintoff             | Stuart Clark                | 1     |
| Owais Shah                  | Michael Clarke              | 1     |
