+--------+-------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                               | Match                                                                   | StartDate  |
| S      | 6     | [Sharma, Singh, Singh, Sharma, Singh, Sahni]                                                        | Haryana v Punjab                                                        | 2007-04-03 |
| S      | 6     | [Singh, Sahni, Sharma, Singh, Sharma, Singh]                                                        | Haryana v Services                                                      | 2007-04-04 |
| S      | 6     | [Singh, Sodhi, Sharma, Singh, Singh, Sharma]                                                        | Punjab v Himachal Pradesh                                               | 2007-04-04 |
| P      | 6     | [Parab, Pathan, Pathan, Pawar, Patel, Panchal]                                                      | Baroda v Gujarat                                                        | 2007-04-05 |
| S      | 6     | [Singh, Sodhi, Sharma, Singh, Singh, Sharma]                                                        | Punjab v Delhi                                                          | 2007-04-06 |
| S      | 6     | [Singh, Sahni, Sharma, Sharma, Singh, Singh]                                                        | Haryana v Jammu and Kashmir                                             | 2007-04-06 |
| S      | 6     | [Singh, Sahni, Sharma, Singh, Sharma, Singh]                                                        | Haryana v Delhi                                                         | 2007-04-07 |
| S      | 6     | [Singh, Sahni, Sharma, Singh, Sharma, Singh]                                                        | Haryana v Himachal Pradesh                                              | 2007-04-08 |
| S      | 6     | [Singh, Sohal, Sharma, Singh, Singh, Singh]                                                         | Punjab v Railways                                                       | 2007-04-15 |
| S      | 6     | [Singh, Sahni, Sharma, Singh, Sharma, Singh]                                                        | Haryana v Madhya Pradesh                                                | 2007-04-15 |
| S      | 6     | [Singh, Sahni, Sharma, Singh, Sharma, Singh]                                                        | Haryana v Bengal                                                        | 2007-04-16 |
| S      | 6     | [Singh, Sharma, Singh, Singh, Singh, Sohal]                                                         | Punjab v Karnataka                                                      | 2007-04-16 |
| S      | 6     | [Singh, Sahni, Sharma, Singh, Sharma, Singh]                                                        | Haryana v Mumbai                                                        | 2007-04-17 |
| S      | 6     | [Singh, Singh, Sharma, Singh, Singh, Sohal]                                                         | Punjab v Gujarat                                                        | 2007-04-18 |
| A      | 6     | [Afridi, Akmal, Arafat, Akhtar, Anjum, Asif]                                                        | Pakistan v Bangladesh                                                   | 2007-09-02 |
| O      | 6     | [Obuya, Obuya, Odoyo, Obanda, Onyango, Ongondo]                                                     | Kenya v Pakistan                                                        | 2007-09-04 |
| S      | 6     | [Sehwag, Sharma, Singh, Sharma, Sreesanth, Singh]                                                   | India v South Africa                                                    | 2007-09-20 |
| S      | 6     | [Singh, Sharma, Singh, Sharma, Sreesanth, Singh]                                                    | India v Pakistan                                                        | 2007-09-24 |
| S      | 6     | [Sehwag, Singh, Sharma, Singh, Singh, Sreesanth]                                                    | India v Australia                                                       | 2007-10-20 |
| C      | 6     | [Chattergoon, Chanderpaul, Christian, Crandon, Crandon, Cush]                                       | Guyana v Antigua and Barbuda                                            | 2008-02-17 |
| C      | 6     | [Chattergoon, Chanderpaul, Cush, Crandon, Christian, Crandon]                                       | Guyana v Jamaica                                                        | 2008-02-23 |
| S      | 6     | [Sangakkara, Singh, Sarwan, Sohal, Sreesanth, Singh]                                                | Kings XI Punjab v Mumbai Indians                                        | 2008-04-25 |
| S      | 6     | [Sarwan, Sangakkara, Singh, Sreesanth, Singh, Singh]                                                | Kings XI Punjab v Deccan Chargers                                       | 2008-05-01 |
| S      | 6     | [Sangakkara, Singh, Srivastava, Singh, Singh, Sreesanth]                                            | Kings XI Punjab v Deccan Chargers                                       | 2008-05-23 |
| O      | 6     | [Ouma, Otieno, Obanda, Odoyo, Obuya, Ongondo]                                                       | Kenya v Netherlands                                                     | 2008-08-02 |
| O      | 6     | [Ouma, Otieno, Odhiambo, Odoyo, Obanda, Ongondo]                                                    | Kenya v Canada                                                          | 2008-08-03 |
| O      | 6     | [Ouma, Otieno, Odhiambo, Obanda, Odoyo, Ongondo]                                                    | Kenya v Ireland                                                         | 2008-08-04 |
| A      | 6     | [Amin, Ashraf, Arafat, Anwar, Ali, Aamer]                                                           | Rawalpindi Rams v Quetta Bears                                          | 2008-10-05 |
| A      | 6     | [Anjum, Athar, Ali, Ahmed, Ali, Ayub]                                                               | Hyderabad Hawks v Karachi Zebras                                        | 2008-10-05 |
| A      | 6     | [Alam, Afridi, Ahmed, Ali, Ahmed, Ahmed]                                                            | Karachi Dolphins v Faisalabad Wolves                                    | 2008-10-05 |
| A      | 6     | [Afridi, Ahmed, Ahmed, Aftab, Ahmed, Ali]                                                           | Karachi Dolphins v Abbottabad Rhinos                                    | 2008-10-06 |
| A      | 6     | [Amin, Arafat, Ashraf, Anwar, Aamer, Ali]                                                           | Rawalpindi Rams v Lahore Lions                                          | 2008-10-06 |
| A      | 6     | [Akmal, Afridi, Akmal, Aamer, Anjum, Ajmal]                                                         | Pakistan v Sri Lanka                                                    | 2009-08-12 |
| S      | 6     | [Srivastava, Shukla, Singh, Sharma, Singh, Srivastava]                                              | Uttar Pradesh v Madhya Pradesh                                          | 2009-10-23 |
| S      | 6     | [Srivastava, Shukla, Singh, Sharma, Singh, Srivastava]                                              | Uttar Pradesh v Vidarbha                                                | 2009-10-24 |
