+------+--------------------------+---------+--------+-------+
| Rank | Batsman                  | Average | Others | Ratio |
| 296  | Larry Gomes              | 28.87   | 25.85  | 1.116 |
| 297  | Dhanushka Gunathilleke   | 36.19   | 32.42  | 1.116 |
| 298  | Ian Billcliff            | 27.84   | 24.95  | 1.115 |
| 299  | Sompal Kami              | 23.80   | 21.36  | 1.113 |
| 300  | Liton Das                | 33.42   | 30.01  | 1.113 |
| 301  | Ajinkya Rahane           | 35.26   | 31.68  | 1.112 |
| 302  | Suresh Raina             | 35.31   | 31.73  | 1.112 |
| 303  | Neil McCallum            | 27.83   | 25.02  | 1.112 |
| 304  | Owais Shah               | 30.56   | 27.52  | 1.110 |
| 305  | Tom Curran               | 37.87   | 34.12  | 1.109 |
| 306  | Adrian Barath            | 30.30   | 27.31  | 1.109 |
| 307  | Khawar Ali               | 29.05   | 26.18  | 1.109 |
| 308  | Mike Rindel              | 27.38   | 24.68  | 1.109 |
| 309  | Anamul Haque             | 30.05   | 27.12  | 1.108 |
| 310  | Colin Ingram             | 32.42   | 29.30  | 1.106 |
| 311  | Mitchell Marsh           | 33.44   | 30.25  | 1.105 |
| 312  | Kashyap Prajapati        | 28.94   | 26.20  | 1.104 |
| 313  | Jimmy Adams              | 28.62   | 25.91  | 1.104 |
| 314  | Nasir Ahmadzai           | 27.07   | 24.52  | 1.104 |
| 315  | Sadagoppan Ramesh        | 28.08   | 25.45  | 1.103 |
| 316  | Nasir Jamshed            | 31.51   | 28.58  | 1.102 |
| 317  | Ahmed Shehzad            | 32.56   | 29.54  | 1.102 |
| 318  | Mohammad Kaif            | 32.01   | 29.12  | 1.099 |
| 319  | Vani Morea               | 26.08   | 23.72  | 1.099 |
| 320  | Joe Denly                | 34.30   | 31.22  | 1.098 |
| 321  | Doug Walters             | 28.50   | 25.95  | 1.098 |
| 322  | Kevin O'Brien            | 29.42   | 26.83  | 1.096 |
| 323  | Mark Greatbatch          | 28.28   | 25.80  | 1.096 |
| 324  | Justin Kemp              | 31.50   | 28.74  | 1.095 |
| 325  | Mohammad Nabi            | 27.58   | 25.19  | 1.094 |
| 326  | Gus Logie                | 28.95   | 26.48  | 1.093 |
| 327  | Alistair Campbell        | 30.50   | 27.95  | 1.091 |
| 328  | Mike Gatting             | 29.50   | 27.05  | 1.090 |
| 329  | Chris Harris             | 29.00   | 26.61  | 1.089 |
| 330  | Chris Cairns             | 29.46   | 27.05  | 1.089 |
| 331  | Mike Brearley            | 24.28   | 22.33  | 1.087 |
| 332  | Shimron Hetmyer          | 35.29   | 32.57  | 1.083 |
| 333  | Hemang Badani            | 33.34   | 30.78  | 1.083 |
| 334  | Elmore Hutchinson        | 23.66   | 21.87  | 1.082 |
| 335  | Kris Srikkanth           | 29.01   | 26.86  | 1.080 |
| 336  | John Davison             | 26.63   | 24.66  | 1.079 |
| 337  | Glenn Maxwell            | 34.36   | 31.88  | 1.077 |
| 338  | Alex Hales               | 37.79   | 35.09  | 1.077 |
| 339  | Jeff Crowe               | 25.72   | 23.88  | 1.077 |
| 340  | Dave Callaghan           | 25.94   | 24.11  | 1.076 |
| 341  | Charles Amini            | 25.80   | 24.02  | 1.073 |
| 342  | Brendon McCullum         | 30.41   | 28.32  | 1.073 |
| 343  | Heinrich Klaasen         | 32.26   | 30.11  | 1.071 |
| 344  | Brad Haddin              | 31.53   | 29.43  | 1.071 |
| 345  | Andrew Hudson            | 29.41   | 27.45  | 1.071 |
| 346  | Roy Fredericks           | 25.91   | 24.21  | 1.070 |
| 347  | Ravi Bopara              | 30.62   | 28.62  | 1.069 |
| 348  | Lionel Cann              | 26.81   | 25.08  | 1.069 |
| 349  | Mohammad Saifuddin       | 36.20   | 33.86  | 1.068 |
| 350  | Ravi Shastri             | 29.04   | 27.18  | 1.068 |
| 351  | Lendl Simmons            | 31.58   | 29.57  | 1.067 |
| 352  | Stephanus Myburgh        | 26.35   | 24.67  | 1.067 |
| 353  | Brijesh Patel            | 30.37   | 28.45  | 1.067 |
| 354  | Shreyas Iyer             | 41.17   | 38.58  | 1.067 |
| 355  | Yashpal Sharma           | 28.48   | 26.70  | 1.066 |
| 356  | Tatenda Taibu            | 29.25   | 27.49  | 1.063 |
| 357  | Nawroz Mangal            | 27.11   | 25.52  | 1.062 |
| 358  | James Faulkner           | 34.40   | 32.40  | 1.061 |
| 359  | Dinesh Chandimal         | 32.21   | 30.34  | 1.061 |
| 360  | Saman Jayantha           | 26.66   | 25.12  | 1.061 |
| 361  | Avishka Gunawardene      | 28.46   | 26.83  | 1.060 |
| 362  | Roshan Mahanama          | 29.49   | 27.81  | 1.060 |
| 363  | Niall O'Brien            | 28.05   | 26.52  | 1.057 |
| 364  | Darren Bravo             | 30.18   | 28.64  | 1.053 |
| 365  | Mathew Sinclair          | 28.34   | 26.90  | 1.053 |
| 366  | Kusal Perera             | 31.65   | 30.08  | 1.052 |
| 367  | Jan Frylinck             | 27.80   | 26.41  | 1.052 |
| 368  | Ravindu Shah             | 27.88   | 26.55  | 1.050 |
| 369  | Imrul Kayes              | 32.02   | 30.51  | 1.049 |
| 370  | Hashan Tillakaratne      | 29.60   | 28.23  | 1.048 |
| 371  | Alexei Kervezee          | 28.00   | 26.74  | 1.046 |
| 372  | Rob Nicol                | 30.84   | 29.47  | 1.046 |
| 373  | Gary Troup               | 25.25   | 24.13  | 1.046 |
| 374  | Sarfraz Ahmed            | 33.55   | 32.09  | 1.045 |
| 375  | VVS Laxman               | 30.76   | 29.45  | 1.044 |
| 376  | Mohsin Khan              | 26.81   | 25.70  | 1.043 |
| 377  | Samit Patel              | 32.13   | 30.81  | 1.042 |
| 378  | Dean Minors              | 26.55   | 25.51  | 1.040 |
| 379  | Mehrab Hossain           | 24.94   | 23.99  | 1.039 |
| 380  | John Wright              | 26.46   | 25.53  | 1.036 |
| 381  | Niroshan Dickwella       | 32.20   | 31.13  | 1.034 |
| 382  | Sohaib Maqsood           | 30.03   | 29.04  | 1.034 |
| 383  | Sherwin Campbell         | 26.24   | 25.39  | 1.033 |
| 384  | Sunil Ambris             | 36.38   | 35.23  | 1.032 |
| 385  | Aarif Sheikh             | 21.42   | 20.80  | 1.030 |
| 386  | Jeremy Snape             | 29.50   | 28.65  | 1.029 |
| 387  | Shahid Nazir             | 25.00   | 24.30  | 1.028 |
| 388  | Adnan Mufti              | 27.50   | 26.74  | 1.028 |
| 389  | Sandeep Goud             | 26.44   | 25.73  | 1.027 |
| 390  | Alex Carey               | 35.22   | 34.29  | 1.027 |
| 391  | Raqibul Hasan            | 27.82   | 27.11  | 1.026 |
