+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
| Match# | Player                    | BBI   | HS  | Match                      | StartDate  | Venue                                                           |
| 1      | Billy Frank               | 1/52  | 5   | South Africa v England     | 1896-03-02 | Old Wanderers, Johannesburg                                     |
| 1      | Arthur Seccull            | 2/37  | 17  | South Africa v England     | 1896-03-21 | Newlands, Cape Town                                             |
| 1      | George Glover             | 1/28  | 18  | South Africa v England     | 1896-03-21 | Newlands, Cape Town                                             |
| 1      | Teddy Tyler               | 3/49  | 0   | England v South Africa     | 1896-03-21 | Newlands, Cape Town                                             |
| 1      | Jack Mason                | 1/8   | 32  | England v Australia        | 1897-12-13 | Sydney Cricket Ground, Sydney                                   |
| 1      | Willis Cuttell            | 3/17  | 21  | England v South Africa     | 1899-02-14 | Old Wanderers, Johannesburg                                     |
| 1      | Robert Graham             | 2/22  | 4   | South Africa v England     | 1899-02-14 | Old Wanderers, Johannesburg                                     |
| 1      | Albert Powell             | 1/10  | 11  | South Africa v England     | 1899-04-01 | Newlands, Cape Town                                             |
| 1      | Frederick Kuys            | 2/31  | 26  | South Africa v England     | 1899-04-01 | Newlands, Cape Town                                             |
| 1      | Walter Mead               | 1/91  | 7   | England v Australia        | 1899-06-15 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Bill Bradley              | 5/67  | 23  | England v Australia        | 1899-07-17 | Old Trafford, Manchester                                        |
| 1      | Joe Travers               | 1/14  | 9   | Australia v England        | 1902-02-28 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Fred Tate                 | 2/7   | 5   | England v Australia        | 1902-07-24 | Old Trafford, Manchester                                        |
| 1      | Henry Taberer             | 1/25  | 2   | South Africa v Australia   | 1902-10-11 | Old Wanderers, Johannesburg                                     |
| 1      | George Thornton           | 1/20  | 1   | South Africa v Australia   | 1902-10-11 | Old Wanderers, Johannesburg                                     |
| 1      | Arnold Warren             | 5/57  | 7   | England v Australia        | 1905-07-03 | Headingley, Leeds                                               |
| 1      | Jock Hartley              | 1/62  | 9   | England v South Africa     | 1906-03-10 | Old Wanderers, Johannesburg                                     |
| 1      | Jack O'Connor             | 5/40  | 20  | Australia v England        | 1908-01-10 | Adelaide Oval, Adelaide                                         |
| 1      | John King                 | 1/99  | 60  | England v Australia        | 1909-06-14 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Douglas Carr              | 5/146 | 0   | England v Australia        | 1909-08-09 | Kennington Oval, Kennington                                     |
| 1      | George Simpson-Hayward    | 6/43  | 29  | England v South Africa     | 1910-01-01 | Old Wanderers, Johannesburg                                     |
| 1      | Norman Norton             | 4/47  | 7   | South Africa v England     | 1910-03-11 | Newlands, Cape Town                                             |
| 1      | Ormerod Pearse            | 3/56  | 31  | South Africa v Australia   | 1910-12-09 | Sydney Cricket Ground, Sydney                                   |
| 1      | John McLaren              | 1/23  | 0   | Australia v England        | 1912-02-23 | Sydney Cricket Ground, Sydney                                   |
| 1      | Harold Baumgartner        | 2/99  | 16  | South Africa v England     | 1913-12-13 | Lord's, Durban                                                  |
| 1      | Cec Dixon                 | 2/62  | 0   | South Africa v England     | 1914-01-01 | Old Wanderers, Johannesburg                                     |
| 1      | Bill Lundie               | 4/101 | 1   | South Africa v England     | 1914-02-27 | St George's Park, Port Elizabeth                                |
| 1      | Abe Waddington            | 1/35  | 7   | England v Australia        | 1920-12-17 | Sydney Cricket Ground, Sydney                                   |
| 1      | Rockley Wilson            | 2/28  | 5   | England v Australia        | 1921-02-25 | Sydney Cricket Ground, Sydney                                   |
| 1      | Len Richmond              | 2/69  | 4   | England v Australia        | 1921-05-28 | Trent Bridge, Nottingham                                        |
| 1      | Jack Durston              | 4/102 | 6   | England v Australia        | 1921-06-11 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Charlie Parker            | 2/32  | 3   | England v Australia        | 1921-07-23 | Old Trafford, Manchester                                        |
| 1      | Norman Reid               | 2/63  | 11  | South Africa v Australia   | 1921-11-26 | Newlands, Cape Town                                             |
| 1      | Dalton Conyngham          | 1/40  | 3   | South Africa v England     | 1923-02-16 | Kingsmead, Durban                                               |
| 1      | George Parker             | 6/152 | 2   | South Africa v England     | 1924-06-14 | Edgbaston, Birmingham                                           |
| 1      | Albert Hartkopf           | 1/120 | 80  | Australia v England        | 1925-01-01 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Louis Promnitz            | 5/58  | 5   | South Africa v England     | 1927-12-24 | Old Wanderers, Johannesburg                                     |
| 1      | Joe Small                 | 2/67  | 52  | West Indies v England      | 1928-06-23 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Matt Henderson            | 2/38  | 6   | New Zealand v England      | 1930-01-10 | Lancaster Park, Christchurch                                    |
| 1      | Leslie Walcott            | 1/17  | 24  | West Indies v England      | 1930-01-11 | Kensington Oval, Bridgetown                                     |
| 1      | Edwin St Hill             | 2/110 | 12  | West Indies v England      | 1930-01-11 | Kensington Oval, Bridgetown                                     |
| 1      | Mal Matheson              | 2/7   | 7   | New Zealand v England      | 1930-02-21 | Eden Park, Auckland                                             |
| 1      | Oscar Da Costa            | 1/14  | 39  | West Indies v England      | 1930-04-03 | Sabina Park, Kingston                                           |
| 1      | George Gladstone          | 1/139 | 12  | West Indies v England      | 1930-04-03 | Sabina Park, Kingston                                           |
