+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Batsman-Runs             | Match                      | StartDate  | Venue                                                           |
| Ben Stokes-100           | England v West Indies      | 2017-08-25 | Headingley, Leeds                                               |
| Rishabh Pant-100         | India v South Africa       | 2022-01-11 | PPC Newlands, Cape Town                                         |
| Robert Christiani-99     | West Indies v England      | 1948-01-21 | Kensington Oval, Bridgetown                                     |
| Saleem Malik-99          | Pakistan v England         | 1987-07-02 | Headingley, Leeds                                               |
| Dipak Patel-99           | New Zealand v England      | 1992-01-18 | Lancaster Park, Christchurch                                    |
| Sourav Ganguly-99        | India v Sri Lanka          | 1997-11-26 | Vidarbha Cricket Association Ground, Nagpur                     |
| AB de Villiers-99        | South Africa v Sri Lanka   | 2011-12-15 | SuperSport Park, Centurion                                      |
| Babar Azam-99            | Pakistan v Australia       | 2018-10-16 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| Geoff Miller-98          | England v Pakistan         | 1977-12-14 | Gaddafi Stadium, Lahore                                         |
| David Capel-98           | England v Pakistan         | 1987-12-16 | National Stadium, Karachi                                       |
| Aamer Malik-98           | Pakistan v England         | 1987-12-16 | National Stadium, Karachi                                       |
| Gus Logie-98             | West Indies v England      | 1990-03-23 | Queen's Park Oval, Port of Spain                                |
| Jimmy Adams-98           | West Indies v England      | 2000-06-15 | Edgbaston, Birmingham                                           |
| Mohammad Ashraful-98     | Bangladesh v Zimbabwe      | 2004-02-19 | Harare Sports Club, Harare                                      |
| Lance Klusener-97        | South Africa v India       | 2000-03-02 | M Chinnaswamy Stadium, Bangalore                                |
| AB de Villiers-97        | South Africa v New Zealand | 2006-04-15 | SuperSport Park, Centurion                                      |
| Ian Bell-97              | England v West Indies      | 2007-06-07 | Old Trafford, Manchester                                        |
| AB de Villiers-97        | South Africa v England     | 2008-08-07 | The Brit Oval, Kennington                                       |
| Brun Smith-96            | New Zealand v England      | 1949-06-11 | Headingley, Leeds                                               |
| Tony Greig-96            | England v Australia        | 1975-07-31 | Lord's Cricket Ground, St John's Wood                           |
| Ricky Ponting-96         | Australia v Sri Lanka      | 1999-09-09 | Asgiriya Stadium, Kandy                                         |
| Shakib Al Hasan-96       | Bangladesh v England       | 2010-03-20 | Shere Bangla National Stadium, Mirpur                           |
| Ajinkya Rahane-96        | India v South Africa       | 2013-12-26 | Sahara Stadium Kingsmead, Durban                                |
| Mitchell Marsh-96        | Australia v South Africa   | 2018-03-01 | Sahara Stadium, Kingsmead, Durban                               |
| Quinton de Kock-96       | South Africa v West Indies | 2021-06-18 | Darren Sammy National Cricket Stadium, Gros Islet               |
| Bob Catterall-95         | South Africa v England     | 1924-08-16 | Kennington Oval, Kennington                                     |
| Shafqat Rana-95          | Pakistan v New Zealand     | 1969-10-30 | Gaddafi Stadium, Lahore                                         |
| Shiv Chanderpaul-95      | West Indies v Pakistan     | 1997-11-29 | Rawalpindi Cricket Stadium, Rawalpindi                          |
| Jonty Rhodes-95          | South Africa v England     | 1998-06-04 | Edgbaston, Birmingham                                           |
| Lance Klusener-95        | South Africa v Sri Lanka   | 2000-08-06 | Sinhalese Sports Club Ground, Colombo                           |
| AB de Villiers-95        | South Africa v Sri Lanka   | 2006-08-04 | P Saravanamuttu Stadium, Colombo                                |
| Jonathan Bairstow-95     | England v South Africa     | 2012-08-16 | Lord's Cricket Ground, St John's Wood                           |
| Quinton de Kock-95       | South Africa v England     | 2019-12-26 | SuperSport Park, Centurion                                      |
| Joe Hardstaff-94         | England v West Indies      | 1939-08-19 | Kennington Oval, Kennington                                     |
| Hanumant Singh-94        | India v Australia          | 1964-10-02 | Nehru Stadium, Madras                                           |
| Steve Waugh-94           | Australia v England        | 1994-12-24 | Melbourne Cricket Ground, Melbourne                             |
| Craig Wishart-94         | Zimbabwe v Bangladesh      | 2001-11-08 | Bangabandhu National Stadium, Dhaka                             |
| Herbie Taylor-93         | South Africa v Australia   | 1912-07-15 | Lord's Cricket Ground, St John's Wood                           |
| Walter Hadlee-93         | New Zealand v England      | 1937-07-24 | Old Trafford, Manchester                                        |
| John Reid-93             | New Zealand v England      | 1949-08-13 | Kennington Oval, Kennington                                     |
| Chandu Borde-93          | India v West Indies        | 1962-03-07 | Sabina Park, Kingston                                           |
| Doug Walters-93          | Australia v India          | 1968-01-19 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Jeremy Coney-93          | New Zealand v Australia    | 1986-03-13 | Eden Park, Auckland                                             |
| Hashan Tillakaratne-93   | Sri Lanka v England        | 1993-03-13 | Sinhalese Sports Club Ground, Colombo                           |
| Mushfiqur Rahim-93       | Bangladesh v Zimbabwe      | 2013-04-25 | Harare Sports Club, Harare                                      |
