+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
| Emmott Robinson              | 413     | 9651  | 455     | 77  | 135 | 25.53   | 7        | 48      | 2     | 482550.00  | 0       | 0         |
| Callum Geldart               | 2       | 51    | 2       | 0   | 34  | 25.50   | 0        | 0       | 121   | 42.14      | 0       | 0         |
| Barrie Leadbeater            | 144     | 5247  | 236     | 27  | 140 | 25.10   | 1        | 27      | 0     | -          | 0       | 0         |
| Chris Schofield              | 1       | 25    | 1       | 0   | 25  | 25.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Vic Craven                   | 33      | 1206  | 55      | 6   | 81  | 24.61   | 0        | 6       | 2674  | 45.10      | 0       | 0         |
| Charles Lee                  | 2       | 98    | 4       | 0   | 74  | 24.50   | 0        | 1       | 0     | -          | 10      | 0         |
| Andrew Dalton                | 21      | 710   | 31      | 2   | 128 | 24.48   | 3        | 0       | 0     | -          | 0       | 0         |
| Neil Hartley                 | 133     | 4193  | 199     | 27  | 114 | 24.37   | 4        | 21      | 251   | 1670.51    | 0       | 0         |
| Chris Pickles                | 58      | 1336  | 76      | 21  | 66  | 24.29   | 0        | 7       | 20    | 6680.00    | 0       | 0         |
| Henry Sampson                | 13      | 437   | 22      | 4   | 56  | 24.27   | 0        | 1       | 0     | -          | 0       | 0         |
| George Ulyett                | 359     | 14351 | 624     | 31  | 199 | 24.20   | 14       | 67      | 0     | -          | 0       | 0         |
| Frederick Elam               | 2       | 48    | 3       | 1   | 28  | 24.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Dan Hodgson                  | 2       | 72    | 3       | 0   | 35  | 24.00   | 0        | 0       | 194   | 37.11      | 2       | 0         |
| Billy Williams               | 12      | 95    | 14      | 10  | 48  | 23.75   | 0        | 0       | 0     | -          | 0       | 0         |
| Brian Waud                   | 8       | 237   | 14      | 4   | 42  | 23.70   | 0        | 0       | 0     | -          | 0       | 0         |
| Ian Fisher                   | 24      | 545   | 32      | 9   | 68  | 23.69   | 0        | 2       | 1088  | 50.09      | 0       | 0         |
| Louis Hall                   | 279     | 9999  | 483     | 58  | 160 | 23.52   | 10       | 38      | 0     | -          | 0       | 0         |
| Claude Burton                | 2       | 47    | 2       | 0   | 47  | 23.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Gary Fellows                 | 46      | 1526  | 71      | 6   | 109 | 23.47   | 1        | 5       | 2870  | 53.17      | 0       | 0         |
| Alex Wharf                   | 7       | 186   | 9       | 1   | 62  | 23.25   | 0        | 1       | 80    | 232.50     | 2       | 0         |
| Chris Old                    | 222     | 4785  | 262     | 56  | 116 | 23.22   | 5        | 18      | 0     | -          | 0       | 0         |
| Ephraim Lockwood             | 213     | 7758  | 363     | 29  | 208 | 23.22   | 6        | 31      | 0     | -          | 0       | 0         |
| Brian Sellers                | 334     | 8949  | 437     | 51  | 204 | 23.18   | 4        | 44      | 0     | -          | 0       | 0         |
| David Willey                 | 19      | 463   | 26      | 6   | 46  | 23.15   | 0        | 0       | 783   | 59.13      | 0       | 0         |
| Richard Harden               | 12      | 439   | 22      | 3   | 69  | 23.10   | 0        | 3       | 1193  | 36.79      | 11      | 0         |
| Irving Washington            | 44      | 1290  | 62      | 6   | 100 | 23.03   | 1        | 6       | 0     | -          | 0       | 0         |
| Edward Robinson              | 1       | 23    | 2       | 1   | 23  | 23.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Charlie Roebuck              | 1       | 23    | 1       | 0   | 23  | 23.00   | 0        | 0       | 71    | 32.39      | 0       | 0         |
| Finlay Bean                  | 3       | 138   | 6       | 0   | 53  | 23.00   | 0        | 1       | 397   | 34.76      | 0       | 0         |
| Major Booth                  | 144     | 4244  | 218     | 31  | 210 | 22.69   | 2        | 19      | 0     | -          | 0       | 0         |
| Phil Carrick                 | 425     | 9994  | 543     | 102 | 131 | 22.66   | 3        | 41      | 809   | 1235.35    | 0       | 0         |
| Will Luxton                  | 1       | 45    | 2       | 0   | 31  | 22.50   | 0        | 0       | 71    | 63.38      | 0       | 0         |
| Richard Dawson               | 72      | 2179  | 106     | 9   | 87  | 22.46   | 0        | 11      | 4034  | 54.01      | 0       | 0         |
| Arnie Sidebottom             | 216     | 4243  | 249     | 59  | 124 | 22.33   | 1        | 11      | 102   | 4159.80    | 0       | 0         |
| Inzamam-ul-Haq               | 3       | 89    | 4       | 0   | 51  | 22.25   | 0        | 1       | 152   | 58.55      | 0       | 0         |
| Dimuth Karunaratne           | 3       | 89    | 4       | 0   | 36  | 22.25   | 0        | 0       | 250   | 35.60      | 0       | 0         |
| Harry Verelst                | 3       | 66    | 4       | 1   | 33  | 22.00   | 0        | 0       | 0     | -          | 1       | 2         |
| Azeem Rafiq                  | 35      | 814   | 41      | 4   | 100 | 22.00   | 1        | 4       | 1342  | 60.65      | 0       | 0         |
| Albert Charlesworth          | 7       | 241   | 12      | 1   | 63  | 21.90   | 0        | 1       | 0     | -          | 0       | 0         |
| Alonzo Drake                 | 156     | 4789  | 244     | 24  | 147 | 21.76   | 3        | 20      | 0     | -          | 0       | 0         |
| Colin Chapman                | 8       | 238   | 13      | 2   | 80  | 21.63   | 0        | 1       | 242   | 98.34      | 0       | 0         |
| Reginald Allen               | 30      | 475   | 32      | 10  | 95  | 21.59   | 0        | 1       | 0     | -          | 0       | 0         |
| Anthony Wilkinson            | 5       | 129   | 6       | 0   | 53  | 21.50   | 0        | 1       | 0     | -          | 1       | 0         |
| Eric Barraclough             | 2       | 43    | 4       | 2   | 24  | 21.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Ted Wainwright               | 354     | 11121 | 548     | 30  | 228 | 21.46   | 18       | 40      | 0     | -          | 0       | 0         |
| Colin Johnson                | 100     | 2960  | 152     | 14  | 107 | 21.44   | 2        | 12      | 0     | -          | 0       | 0         |
| Frederick Lee                | 106     | 3706  | 183     | 10  | 165 | 21.42   | 3        | 18      | 0     | -          | 0       | 0         |
| William Wilkinson            | 126     | 3812  | 192     | 14  | 103 | 21.41   | 1        | 17      | 0     | -          | 0       | 0         |
| Arthur Wood                  | 408     | 8579  | 481     | 80  | 123 | 21.39   | 1        | 41      | 0     | -          | 0       | 0         |
| James Rothery                | 150     | 4614  | 236     | 18  | 161 | 21.16   | 3        | 21      | 1     | 461400.00  | 0       | 0         |
| Matthew Waite                | 13      | 358   | 19      | 2   | 59  | 21.05   | 0        | 1       | 696   | 51.43      | 0       | 0         |
| William Ingle                | 1       | 21    | 1       | 0   | 21  | 21.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Graham Stevenson             | 177     | 3856  | 217     | 32  | 115 | 20.84   | 2        | 16      | 30    | 12853.33   | 0       | 0         |
| Jordan Thompson              | 34      | 958   | 50      | 4   | 98  | 20.82   | 0        | 4       | 1748  | 54.80      | 0       | 0         |
| Peter Ingham                 | 8       | 290   | 14      | 0   | 64  | 20.71   | 0        | 2       | 0     | -          | 0       | 0         |
| Peter Hartley                | 195     | 3844  | 237     | 51  | 127 | 20.66   | 2        | 13      | 1942  | 197.94     | 0       | 0         |
| Alan Barber                  | 42      | 1050  | 54      | 3   | 100 | 20.58   | 1        | 4       | 0     | -          | 0       | 0         |
| William Harbord              | 16      | 411   | 21      | 1   | 109 | 20.55   | 1        | 1       | 0     | -          | 0       | 0         |
| James Dearman                | 6       | 205   | 11      | 1   | 53  | 20.50   | 0        | 1       | 0     | -          | 0       | 0         |
| Henry Hattersley             | 2       | 41    | 4       | 2   | 26  | 20.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Joseph Sullivan              | 1       | 41    | 2       | 0   | 26  | 20.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Ernest Smith                 | 154     | 4453  | 236     | 18  | 129 | 20.42   | 2        | 16      | 0     | -          | 0       | 0         |
| John Woodford                | 38      | 1204  | 61      | 2   | 101 | 20.40   | 1        | 3       | 0     | -          | 0       | 0         |
| Billy Bates                  | 202     | 6499  | 331     | 11  | 136 | 20.30   | 8        | 28      | 0     | -          | 0       | 0         |
| Horace Rudston               | 21      | 609   | 30      | 0   | 164 | 20.30   | 1        | 2       | 0     | -          | 0       | 0         |
| Thomas Bottomley             | 6       | 142   | 7       | 0   | 51  | 20.28   | 0        | 1       | 0     | -          | 0       | 0         |
| Ian Swallow                  | 61      | 1296  | 82      | 18  | 114 | 20.25   | 1        | 2       | 0     | -          | 1       | 0         |
| Lord Hawke                   | 512     | 13176 | 743     | 91  | 166 | 20.20   | 10       | 58      | 0     | -          | 3       | 0         |
| Richard Hutton               | 208     | 4986  | 292     | 45  | 189 | 20.18   | 4        | 15      | 0     | -          | 1       | 0         |
| Alfred Wormald               | 7       | 161   | 11      | 3   | 80  | 20.12   | 0        | 1       | 0     | -          | 0       | 0         |
| Thomas Barker                | 2       | 40    | 4       | 2   | 30  | 20.00   | 0        | 0       | 0     | -          | 0       | 0         |
| George Savile                | 5       | 140   | 7       | 0   | 65  | 20.00   | 0        | 1       | 0     | -          | 0       | 0         |
| Ajaz Patel                   | 2       | 20    | 2       | 1   | 20  | 20.00   | 0        | 0       | 28    | 71.42      | 0       | 0         |
| Bobby Peel                   | 320     | 9358  | 513     | 42  | 210 | 19.86   | 6        | 38      | 0     | -          | 0       | 0         |
| Charles Hardisty             | 38      | 991   | 55      | 5   | 84  | 19.82   | 0        | 5       | 0     | -          | 0       | 0         |
| Rodney Smith                 | 5       | 99    | 8       | 3   | 37  | 19.80   | 0        | 0       | 0     | -          | 0       | 0         |
