+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
| Chris Gayle              | Daniel Vettori           | 3     |
| Virender Sehwag          | Sanath Jayasuriya        | 3     |
| Alok Kapali              | Sanath Jayasuriya        | 3     |
| Shahid Afridi            | Herschelle Gibbs         | 3     |
| Shoaib Malik             | Ricky Ponting            | 3     |
| Tatenda Taibu            | Younis Khan              | 3     |
| Mohammad Yousuf          | Shaun Pollock            | 3     |
| Paul Collingwood         | Mahela Jayawardene       | 3     |
| Chaminda Vaas            | Paul Collingwood         | 3     |
| Rahul Dravid             | Scott Styris             | 3     |
| Kumar Sangakkara         | Shane Watson             | 3     |
| Sachin Tendulkar         | Paul Collingwood         | 3     |
| Rahul Dravid             | Paul Collingwood         | 3     |
| Mohammad Yousuf          | Zaheer Khan              | 3     |
| Sachin Tendulkar         | Younis Khan              | 3     |
| Kumar Sangakkara         | Yuvraj Singh             | 3     |
| Abdul Razzaq             | Scott Styris             | 3     |
| Yasir Hameed             | Scott Styris             | 3     |
| Abdul Razzaq             | Marcus Trescothick       | 3     |
| Scott Styris             | Ricky Ponting            | 3     |
| Yuvraj Singh             | Matthew Hayden           | 3     |
| Shiv Chanderpaul         | Jacques Rudolph          | 3     |
| Jacques Kallis           | Shiv Chanderpaul         | 3     |
| Michael Clarke           | Tillakaratne Dilshan     | 3     |
| Abdul Razzaq             | Virender Sehwag          | 3     |
| Ramnaresh Sarwan         | Paul Collingwood         | 3     |
| Andrew Strauss           | Dwayne Bravo             | 3     |
| Mohammad Yousuf          | Mohammad Kaif            | 3     |
| Shahid Afridi            | Mohammad Kaif            | 3     |
| Virender Sehwag          | Shoaib Malik             | 3     |
| Shaun Pollock            | Marvan Atapattu          | 3     |
| Prosper Utseya           | Mahela Jayawardene       | 3     |
| Ramnaresh Sarwan         | Andrew Strauss           | 3     |
| Kamran Akmal             | Michael Clarke           | 3     |
| Brendon McCullum         | Mike Hussey              | 3     |
| Shoaib Malik             | Yuvraj Singh             | 3     |
| Shane Watson             | Andrew Strauss           | 3     |
| Daniel Vettori           | Ricky Ponting            | 3     |
| Mahendra Dhoni           | Mahela Jayawardene       | 3     |
| Cameron White            | Daniel Vettori           | 3     |
| Younis Khan              | Paul Collingwood         | 3     |
| James Hopes              | Johan Botha              | 3     |
| Shoaib Malik             | Rahul Dravid             | 3     |
