+------+----------------------+----------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Size | Batsman              | Bowler               | Matches                                                                                                                                                                                                                                     |
| 4    | Kieron Pollard       | Wahab Riaz           | [Karachi Kings v Peshawar Zalmi, West Indies v Pakistan, Dhaka Dynamites v Comilla Victorians, Trinbago Knight Riders v St Lucia Kings]                                                                                                     |
| 4    | Kane Williamson      | Mohammed Shami       | [Sunrisers v Delhi Daredevils, Sunrisers v Kings XI Punjab, New Zealand v India, Sunrisers v Punjab Kings]                                                                                                                                  |
| 4    | Wahab Riaz           | Sohail Tanvir        | [Barbados Tridents v Guyana Amazon Warriors, Lahore Whites v Rawalpindi, Southern Punjab v Northern, Peshawar Zalmi v Multan Sultans]                                                                                                       |
| 4    | Dwayne Bravo         | Rashid Khan          | [Trinbago Knight Riders v Guyana Amazon Warriors, Melbourne Renegades v Adelaide Strikers, Chennai Super Kings v Sunrisers, Melbourne Stars v Adelaide Strikers]                                                                            |
| 4    | Colin Munro          | Mohammad Hafeez      | [Trinbago Knight Riders v St Kitts and Nevis Patriots, New Zealand v Pakistan, Islamabad United v Lahore Qalandars, Trinbago Knight Riders v Guyana Amazon Warriors]                                                                        |
| 4    | Asif Ali             | Hussain Talat        | [Faisalabad v Lahore Blues, Northern v Baluchistan, Northern v Southern Punjab, Northern v Central Punjab]                                                                                                                                  |
| 4    | Liton Das            | Shakib Al Hasan      | [Comilla Victorians v Dhaka Dynamites, Sylhet Sixers v Dhaka Dynamites, Chittagong v Khulna, Comilla Victorians v Fortune Barisal]                                                                                                          |
| 4    | Ariful Haque         | Mustafizur Rahman    | [Khulna Titans v Rajshahi Kings, Dhaka Platoon v Rangpur Rangers, Khulna v Chittagong, Gazi Group Cricketers v Prime Bank Cricket Club]                                                                                                     |
| 4    | Iftikhar Ahmed       | Haris Rauf           | [Khyber Pakhtunkhwa v Northern, Karachi Kings v Lahore Qalandars, Islamabad United v Lahore Qalandars, Quetta Gladiators v Lahore Qalandars]                                                                                                |
| 4    | Mushfiqur Rahim      | Ebadat Hossain       | [Khulna Tigers v Sylhet Thunder, Dhaka v Rajshahi, Abahani Limited v Sheikh Jamal Dhanmondi Club, Khulna Tigers v Minster Group Dhaka]                                                                                                      |
