TITLE: Highest Scores On List A Debut
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
| Player                        | Runs | Match                                                                        | StartDate  | Venue                                                                         | MatchId | PlayerId |
| Muhammad Asim                 | 94   | Qatar v Kuwait                                                               | 2025-08-21 | Grainville, St Saviour                                                        | a31849  | 2853345  |
| Darron Nedd                   | 94   | Windward Islands v Leeward Islands                                           | 2025-11-19 | Brian Lara Stadium, Tarouba                                                   | a31986  | 2107166  |
| Ian Chappell                  | 93   | South Australia v Victoria                                                   | 1970-10-18 | Adelaide Oval, Adelaide                                                       | a444    | 1243     |
| Shahid Yousuf                 | 93   | Sialkot v Public Works Department                                            | 2002-03-08 | Saga Cricket Ground, Sialkot                                                  | a14114  | 11317    |
| Ryan Rickelton                | 93   | Gauteng v KwaZulu-Natal Inland                                               | 2016-10-16 | Bidvest Wanderers Stadium, Johannesburg                                       | a24948  | 1386535  |
| Ravi Sehgal                   | 92   | Delhi v Hyderabad                                                            | 1993-01-07 | Barabati Stadium, Cuttack                                                     | a7874   | 11779    |
| Sudhir Tanna                  | 92   | Saurashtra v Baroda                                                          | 1993-12-12 | Municipal Stadium, Rajkot                                                     | a8383   | 7850     |
| Sajjad Ahmed                  | 92   | Peshawar v Rawalpindi                                                        | 1998-03-15 | Arbab Niaz Stadium, Peshawar                                                  | a11024  | 19646    |
| Napoleon Einstein             | 92   | Tamil Nadu v Kerala                                                          | 2007-02-16 | Railways Recreation Club Ground, Secunderabad                                 | a17990  | 163081   |
| Jay Bista                     | 92   | Mumbai v Punjab                                                              | 2015-12-10 | Gymkhana Ground, Secunderabad                                                 | a24387  | 1058831  |
| Vimath Dinsara                | 92   | Panadura Sports Club v Nondescripts Cricket Club                             | 2025-07-08 | Panadura Esplanade, Panadura                                                  | a31757  | 2848955  |
| Ghulam Parkar                 | 91   | Bombay v Bengal                                                              | 1979-04-04 | Wankhede Stadium, Bombay                                                      | a2338   | 1679     |
| Liam Livingstone              | 91   | Lancashire v Kent                                                            | 2015-08-08 | Spitfire Ground, St Lawrence, Canterbury                                      | a24214  | 353210   |
| Sandeep Pattnaik              | 91   | Orissa v Haryana                                                             | 2017-02-25 | Karnail Singh Stadium, Delhi                                                  | a25198  | 1377796  |
| Nandan Phadnis                | 90   | Maharashtra v Andhra                                                         | 1987-04-01 | Captain Roop Singh Stadium, Gwalior                                           | a5172   | 18328    |
| Parimal Hedaoo                | 90   | Vidarbha v Madhya Pradesh                                                    | 1993-12-27 | Vidarbha Cricket Association Ground, Nagpur                                   | a8430   | 8861     |
| Andrew Wylie                  | 90   | Boland v Orange Free State                                                   | 1994-10-21 | Springbok Park, Bloemfontein                                                  | a8856   | 4148     |
| John Fry                      | 90   | Surrey Cricket Board v Norfolk                                               | 1999-05-04 | Peaches Close, Cheam                                                          | a11905  | 9224     |
| Raiphi Gomez                  | 90   | Kerala v Goa                                                                 | 2005-01-12 | Arlem Breweries Ground, Margao                                                | a16347  | 8743     |
| Geeth Alwis                   | 90   | Saracens Sports Club v Sri Lanka Air Force Sports Club                       | 2007-11-14 | Air Force Ground, Colombo                                                     | a18493  | 237708   |
| Suresh Kumar                  | 89   | Orissa v Tripura                                                             | 1993-12-14 | Sports Stadium, Berhampur                                                     | a8386   | 18174    |
| Javed Ismail                  | 89   | Railways v Lahore City                                                       | 1995-12-25 | Khan Research Laboratories Ground, Rawalpindi                                 | a9576   | 19180    |
| Muenoddin Kadri               | 89   | Baroda v Saurashtra                                                          | 1997-11-05 | Municipal Stadium, Rajkot                                                     | a10800  | 7871     |
| James Ralph                   | 89   | Shropshire v Hampshire Cricket Board                                         | 1999-05-19 | Orleton Park, Wellington                                                      | a11925  | 11401    |
| Sangram Atitkar               | 89   | Maharashtra v Gujarat                                                        | 2009-02-15 | Khandheri Cricket Ground, Rajkot                                              | a19525  | 248302   |
