+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
| Khaled Mashud           | 44           | 84      | 1409  | 10  | 103 | 19.04   | 114        | 194     | 4374  | 19  | 201 | 24.99   | 5.95   |
| Ian Chappell            | 75           | 136     | 5345  | 10  | 196 | 42.42   | 262        | 448     | 19680 | 41  | 209 | 48.35   | 5.93   |
| Chris Woakes            | 42           | 68      | 1535  | 12  | 137 | 27.41   | 158        | 235     | 6162  | 50  | 152 | 33.30   | 5.89   |
| Wasim Bari              | 81           | 112     | 1366  | 26  | 85  | 15.88   | 286        | 357     | 5751  | 92  | 177 | 21.70   | 5.81   |
| Kraigg Brathwaite       | 74           | 142     | 4402  | 7   | 212 | 32.60   | 180        | 325     | 11633 | 22  | 276 | 38.39   | 5.78   |
| Dick Lilley             | 35           | 52      | 903   | 8   | 84  | 20.52   | 416        | 639     | 15597 | 46  | 171 | 26.30   | 5.77   |
| Mudassar Nazar          | 76           | 116     | 4114  | 8   | 231 | 38.09   | 220        | 355     | 14080 | 34  | 241 | 43.86   | 5.77   |
| Keshav Maharaj          | 39           | 61      | 805   | 6   | 73  | 14.63   | 142        | 204     | 3607  | 27  | 114 | 20.37   | 5.74   |
| VVS Laxman              | 134          | 225     | 8781  | 34  | 281 | 45.97   | 267        | 436     | 19730 | 54  | 353 | 51.64   | 5.67   |
| Dick Motz               | 32           | 56      | 612   | 3   | 60  | 11.54   | 142        | 225     | 3494  | 21  | 103 | 17.12   | 5.58   |
| Mohammad Sami           | 36           | 56      | 487   | 14  | 49  | 11.59   | 178        | 250     | 3443  | 49  | 77  | 17.12   | 5.53   |
| Victor Trumper          | 48           | 89      | 3163  | 8   | 214 | 39.04   | 255        | 401     | 16939 | 21  | 300 | 44.57   | 5.52   |
| Paul Downton            | 30           | 48      | 785   | 8   | 74  | 19.62   | 314        | 405     | 8271  | 76  | 126 | 25.13   | 5.51   |
| John Bracewell          | 41           | 60      | 1001  | 11  | 110 | 20.42   | 149        | 208     | 4354  | 40  | 110 | 25.91   | 5.48   |
| Jonty Rhodes            | 52           | 80      | 2532  | 9   | 117 | 35.66   | 164        | 263     | 9546  | 31  | 172 | 41.14   | 5.48   |
| Andre Nel               | 36           | 42      | 337   | 8   | 34  | 9.91    | 132        | 153     | 1692  | 43  | 96  | 15.38   | 5.47   |
| Ashley Giles            | 54           | 81      | 1421  | 13  | 59  | 20.89   | 178        | 249     | 5346  | 46  | 128 | 26.33   | 5.43   |
| Roshan Mahanama         | 52           | 89      | 2576  | 1   | 225 | 29.27   | 137        | 211     | 6698  | 18  | 225 | 34.70   | 5.43   |
| Aravinda de Silva       | 93           | 159     | 6361  | 11  | 267 | 42.97   | 220        | 343     | 15000 | 33  | 267 | 48.38   | 5.40   |
